track_name,artist(s)_name,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",0.0877079669550413,0.8910956036247316,1.6008281582344444,1.13172906208893,0.1517289494010818,-0.18813199633449962,-0.745256192923879,-0.6188291735741569
LALA,Myke Towers,-1.0890530623833126,0.27562395019508706,0.40772985434013626,0.587654169115624,-0.7719720169820807,-0.18813199633449962,-0.5993136979364226,-0.6188291735741569
vampire,Olivia Rodrigo,0.5512804936640898,-1.092090835204123,-0.8279791032646828,-0.6818539144887571,-0.3870966143224297,-0.18813199633449962,0.9330824994318699,-0.41696567796704703
Cruel Summer,Taylor Swift,1.6923820978709783,-0.818547878124281,0.27989789320860325,0.4667486373437781,-0.6180218559182203,-0.18813199633449962,-0.5263424504426943,0.4914200522649475
WHERE SHE GOES,Bad Bunny,0.7652370444528813,-0.13469048542467596,-1.211474986659282,0.9503707644311614,-0.502559235120325,7.307061718281972,-0.5263424504426943,-0.41696567796704703
Sprinter,"Dave, Central Cee",0.6582587690584856,1.7117244748642577,0.6207831228926913,-0.3795900850591426,-0.3101215337904995,-0.18813199633449962,-0.745256192923879,1.399805782496942
Ella Baila Sola,"Eslabon Armado, Peso Pluma",0.9078747449787424,0.0020809931152450402,1.3451642359713782,0.7085597008874698,0.8060171339224886,-0.18813199633449962,-0.745256192923879,-0.7197609213777119
Columbia,Quevedo,-0.8037776613315903,0.0020809931152450402,-1.083643025527749,0.4062958714578552,0.3826541909968725,-0.18813199633449962,-0.5263424504426943,-0.6188291735741569
fukumean,Gunna,0.26600509261236766,1.233024299974534,-1.2540856403697929,-0.13777902151545096,-0.5795343156522552,-0.18813199633449962,0.7141687569506853,-0.11417043455638219
La Bebe - Remix,"Peso Pluma, Yng Lvcas",1.6923820978709783,0.9594813428946921,0.19467658578758124,-0.9841177439183717,-0.23314645325856925,-0.18813199633449962,-0.745256192923879,2.3081915127289365
un x100to,"Bad Bunny, Grupo Frontera",-1.4099878885664998,-0.68177639958436,0.19467658578758124,0.4667486373437781,-0.15617137272663906,-0.18813199633449962,0.6411975094569571,-0.5178974257706019
Super Shy,NewJeans,0.9791935952416729,0.7543241250848106,0.024233970945537225,1.0712762962030071,-0.3486090740564646,-0.18813199633449962,-0.23445746046778151,-0.31603393016349207
Flowers,Miley Cyrus,-0.16190800896521557,0.27562395019508706,0.5781724691821802,0.22493757380008647,-0.8104595572480459,-0.18813199633449962,-1.11011243039252,-0.31603393016349207
Daylight,David Kushner,0.26600509261236766,-1.092090835204123,-0.8279791032646828,-1.2863815733479862,2.1530810432312673,-0.18813199633449962,-0.6722849454301508,-0.7197609213777119
As It Was,Harry Styles,1.8350197983968393,-1.0237050959341625,0.6207831228926913,0.527201403229701,0.26719157019897716,-0.18813199633449962,0.9330824994318699,-0.41696567796704703
Kill Bill,SZA,-1.1960313377777083,-0.20307622469463646,-0.3592619124490618,0.527201403229701,-0.848947097514011,1.8343805933239135,-0.1614862129740533,-0.6188291735741569
Cupid - Twin Ver.,Fifty Fifty,-0.09058915870228504,0.7543241250848106,1.0468896599978013,-0.3191373191732197,0.6135794325926631,-0.18813199633449962,1.1519962419130545,-0.7197609213777119
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,-1.5882850142238263,-1.5707910100938465,-1.594970870053881,-3.3417756134693652,2.6534190666888136,-0.18813199633449962,-0.5993136979364226,-0.7197609213777119
Classy 101,"Feid, Young Miko",-0.8037776613315903,1.3014100392444945,0.6633937766032023,0.10403204202824066,-0.502559235120325,-0.18813199633449962,-0.45337120294896616,0.5923518000685024
Like Crazy,Jimin,-0.09058915870228504,-0.271461963964597,-0.6575364884226388,0.527201403229701,-1.0413847988438365,-0.18813199633449962,1.297938736900511,-0.6188291735741569
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",0.6225993439270203,-0.13469048542467596,1.5156068508134224,0.587654169115624,-0.19465891299260416,-0.18813199633449962,1.7357662218628802,-0.6188291735741569
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,0.016389116692110763,0.13885247165516604,1.3025535822608674,0.7085597008874698,-0.8104595572480459,-0.18813199633449962,-0.8911986879113355,-0.7197609213777119
I Wanna Be Yours,Arctic Monkeys,0.44430221826969396,-1.2972480530140045,-0.3166512587385508,-1.346834339233909,-0.5795343156522552,0.04981066127237249,-0.5263424504426943,-0.7197609213777119
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",0.3729833680067634,1.233024299974534,1.2599429285503563,0.16448480791416356,-0.04070875192874373,-0.18813199633449962,-0.45337120294896616,-0.5178974257706019
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",-0.8394370864630556,1.233024299974534,1.3451642359713782,0.22493757380008647,-0.7719720169820807,-0.18813199633449962,1.297938736900511,0.9960787912827223
SABOR FRESA,Fuerza Regida,0.26600509261236766,0.8227098643547711,1.8991027342080213,1.3130873597466988,-0.6949969364501506,-0.18813199633449962,-0.6722849454301508,-0.11417043455638219
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",-0.5541616854113335,0.8910956036247316,1.3025535822608674,0.9503707644311614,0.6135794325926631,-0.18813199633449962,-0.30742870796150973,-0.6188291735741569
